success,czo_id,hs_id,uname,elapsed_time,public,maps
True,2459,a0986c3b6010466da4522620fc8dd14d,czo_boulder,1 sec | 0.10 min,True,101214_landClass_Convertedgg_copy.jpg
True,2460,c9679d894e87483d9b6b5591f77ee79b,czo_boulder,1 sec | 0.10 min,True,101214_landClass_Convertedgg_copy.jpg
True,2461,71470ee608ef438488d1c9c7d122157d,czo_boulder,1 sec | 0.10 min,True,101214_landClass_Convertedgg_copy.jpg
True,2862,a1eced7cf4e14244b2ff409555148248,czo_boulder,21 sec | 0.35 min,True,cullismap.jpg
True,2833,079adbc764c4419caf0380171a58534a,czo_boulder,36 sec | 0.60 min,True,eilerstransectmap.jpg
True,4673,55606327aab649ed809f1cc1c804ff3c,czo_calhoun,19 sec | 0.31 min,True,bacon-map.jpg
True,2583,e598205c8a0a4cb4af988b02a7bb737f,czo_shale-hills,23 sec | 0.38 min,True,automated_TDR_lin.png
True,2584,b33d251ecd164474ab67afe9f83bf6d9,czo_shale-hills,23 sec | 0.38 min,True,automated_TDR_lin.png
True,2586,ad23810ef40440058f8ffa2b1d9fa2bd,czo_shale-hills,22 sec | 0.37 min,True,automated_TDR_lin.png
True,2587,4939e8fe6af54a28948230774bdf055f,czo_shale-hills,22 sec | 0.37 min,True,automated_TDR_lin.png
True,2588,5f4234d521a24a5488258cf7ff9cf588,czo_shale-hills,22 sec | 0.37 min,True,automated_TDR_lin.png
True,2601,4e785837997a4be6ad1e44d1a77ea076,czo_shale-hills,23 sec | 0.38 min,True,automated_TDR_lin.png
True,2602,4cefa72017ce4f128de6b7e61efae487,czo_shale-hills,23 sec | 0.38 min,True,automated_TDR_lin.png
True,2606,863483895e38410e83e7db02adb6dc92,czo_shale-hills,23 sec | 0.39 min,True,automated_TDR_lin.png
True,2607,e45b0d95e6174233bbc90d38307d3fbd,czo_shale-hills,23 sec | 0.38 min,True,automated_TDR_lin.png
True,2608,59f96e3c5c4d44f798ceacafa45f4c89,czo_shale-hills,23 sec | 0.39 min,True,automated_TDR_lin.png
True,2573,604b48fd88ec44c7a9c6698064adc186,czo_shale-hills,18 sec | 0.30 min,True,ControlPointsMap.jpg
True,2599,f433e8228c8440a1ba9cd8aaf133a7cb,czo_shale-hills,79 sec | 1.31 min,True,gw_wells_large.png
True,2610,be20dbf354314885a6981f7498f14e7d,czo_shale-hills,19 sec | 0.32 min,True,ShaleHills_Map.jpg
True,2692,28b106cc56ec4271abf8ccc29b4e501e,czo_shale-hills,307 sec | 5.12 min,True,transect_image.png
True,2638,92754e5cf7974fb3a95a572acadf1380,czo_sierra,42 sec | 0.70 min,True,CZT1_Site_Layout.jpg
True,2639,7ab75731196d4a01870c6880f7d903de,czo_sierra,30 sec | 0.50 min,True,CZT1_Site_Layout.jpg
True,2637,29555085fc1341b39fda2fd991b77967,czo_sierra,54 sec | 0.91 min,True,CZT1_Site_Layout.jpg|SSCZO_Map_2013.jpg
True,2656,a2c9c3b5655446db9da9ada6da4ef247,czo_sierra,162 sec | 2.70 min,True,krew_overview_handout_color.jpg
True,2529,0918a6975c864a398766d579e3687004,czo_sierra,1 sec | 0.10 min,True,SSCZO_Map_2013.jpg
True,2641,37d7295630ca44d0a085da8ea05ccc17,czo_sierra,31 sec | 0.52 min,True,SSCZO_Map_2013.jpg
True,2642,63bd9676c3bf4a9996bd62b7a120c2be,czo_sierra,68 sec | 1.13 min,True,SSCZO_Map_2013.jpg
True,2664,d6d8b2a6e5604629b1192233646dfea1,czo_sierra,176 sec | 2.93 min,True,
True,6696,12b40614cae943ae94032c96041eb526,czo_shale-hills,593 sec | 9.88 min,True,
True,2627,7f63e88c8a104c2da0d5c534fd64cfb2,czo_luquillo,11 sec | 0.19 min,True,
